H 32.020000
He 19.080000
Li 21.630000
Be 8.110000
B 7.750000
C 5.670000
N 22.680000
O 17.360000
F 16.420000
Ne 23.090000
Na 39.760000
Mg 23.480000
Al 16.610000
Si 20.020000
P 18.990000
S 25.760000
Cl 29.050000
Ar 36.300000
K 75.630000
Ca 44.190000
Sc 24.960000
Ti 17.670000
V 13.880000
Cr 12.010000
Mn 12.200000
Fe 11.780000
Co 11.120000
Ni 10.860000
Cu 11.810000
Zn 15.190000
Ga 19.600000
Ge 22.230000
As 21.520000
Se 29.810000
Br 65.140000
Kr 44.810000
Rb 93.090000
Sr 56.080000
Y 32.970000
Zr 23.290000
Nb 18.150000
Mo 15.590000
Tc 14.220000
Ru 14.030000
Rh 11.580000
Pd 14.720000
Ag 17.050000
Cd 21.590000
In 26.140000
Sn 27.050000
Sb 30.210000
Te 33.940000
I 42.510000
Xe 57.830000
Cs 67.550000
Ba 62.880000
La 37.420000
Ce 34.470000
Pr 34.500000
Nd 34.200000
Pm 33.670000
Sm 33.140000
Eu 48.530000
Gd 32.980000
Tb 31.950000
Dy 31.600000
Ho 31.110000
Er 30.670000
Tm 30.140000
Yb 41.170000
Lu 29.520000
Hf 22.420000
Ta 17.650000
W 15.850000
Re 14.710000
Os 13.800000
Ir 13.880000
Pt 15.100000
Au 16.960000
Hg 23.820000
Tl 28.530000
Pb 30.320000
Bi 35.380000
Po 37.380000
At 39.490000
Rn 41.710000
