H 0.000000
He 0.000000
Li 0.000000
Be 0.000000
B 0.000000
C 0.000000
N 0.000000
O 0.000000
F 0.000000
Ne 0.000000
Na 0.000000
Mg 0.000000
Al 0.000000
Si 0.000000
P 0.000000
S 0.000000
Cl 0.000000
Ar 0.000000
K 0.000000
Ca 0.000000
Sc 0.000000
Ti 0.000000
V 0.000000
Cr 0.000000
Mn 0.000000
Fe 0.000000
Co 0.000000
Ni 0.000000
Cu 0.000000
Zn 0.000000
Ga 0.000000
Ge 0.000000
As 0.000000
Se 0.000000
Br 0.000000
Kr 0.000000
Rb 0.000000
Sr 0.000000
Y 0.000000
Zr 0.000000
Nb 0.000000
Mo 0.000000
Tc 0.000000
Ru 0.000000
Rh 0.000000
Pd 0.000000
Ag 0.000000
Cd 0.000000
In 0.000000
Sn 0.000000
Sb 0.000000
Te 0.000000
I 0.000000
Xe 0.000000
Cs 0.000000
Ba 0.000000
La 1.000000
Ce 1.000000
Pr 1.000000
Nd 1.000000
Pm 1.000000
Sm 1.000000
Eu 1.000000
Gd 1.000000
Tb 1.000000
Dy 1.000000
Ho 1.000000
Er 1.000000
Tm 1.000000
Yb 1.000000
Lu 1.000000
Hf 0.000000
Ta 0.000000
W 0.000000
Re 0.000000
Os 0.000000
Ir 0.000000
Pt 0.000000
Au 0.000000
Hg 0.000000
Tl 0.000000
Pb 0.000000
Bi 0.000000
Po 0.000000
At 0.000000
Rn 0.000000
